age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,age_group,balance_bin,balance_duration_ratio,age_balance_interaction,previous_contacted,engagement_rate,y
37,technician,married,tertiary,no,549,no,no,cellular,4,jun,217,2,94,1,success,30-50,low,2.518348623853211,20313,1,0.3333333333333333,yes
22,student,single,secondary,no,64,no,no,cellular,4,jun,112,1,-1,0,unknown,<30,low,0.5663716814159292,1408,0,0.0,no
34,technician,married,tertiary,no,932,yes,no,cellular,4,jun,218,1,-1,0,unknown,30-50,low,4.255707762557078,31688,0,0.0,no
38,management,married,tertiary,no,1988,yes,no,cellular,4,jun,422,1,79,4,other,30-50,medium,4.699763593380615,75544,1,2.0,yes
31,management,single,tertiary,no,617,no,no,cellular,4,jun,1161,1,97,2,success,30-50,low,0.5309810671256454,19127,1,1.0,yes
24,student,single,secondary,no,1957,no,no,cellular,4,jun,113,1,-1,0,unknown,<30,medium,17.166666666666668,46968,0,0.0,no
24,unemployed,single,secondary,no,572,no,no,cellular,4,jun,442,3,-1,0,unknown,<30,low,1.2911963882618511,13728,0,0.0,yes
38,services,single,tertiary,no,5265,no,no,cellular,4,jun,352,1,-1,0,unknown,30-50,high,14.91501416430595,200070,0,0.0,yes
34,services,married,secondary,no,2918,no,yes,cellular,4,jun,246,1,196,2,success,30-50,medium,11.813765182186234,99212,1,1.0,no
50,entrepreneur,married,secondary,no,78,no,no,telephone,4,jun,143,1,-1,0,unknown,30-50,low,0.5416666666666666,3900,0,0.0,no
58,unknown,married,primary,no,7369,no,no,telephone,4,jun,247,2,-1,0,unknown,>50,high,29.713709677419356,427402,0,0.0,no
32,management,single,tertiary,no,252,no,no,cellular,4,jun,216,2,-1,0,unknown,30-50,low,1.1612903225806452,8064,0,0.0,yes
27,student,single,secondary,no,538,no,no,cellular,4,jun,124,2,-1,0,unknown,<30,low,4.304,14526,0,0.0,no
30,management,single,tertiary,no,3384,no,no,cellular,4,jun,578,2,-1,0,unknown,<30,medium,5.844559585492228,101520,0,0.0,yes
34,admin.,single,secondary,no,303,no,no,cellular,4,jun,282,3,126,3,failure,30-50,low,1.0706713780918728,10302,1,0.75,no
30,admin.,married,secondary,no,779,yes,no,cellular,4,jun,156,2,17,3,other,<30,low,4.961783439490445,23370,1,1.0,no
44,management,married,tertiary,no,170,no,no,cellular,4,jun,94,1,-1,0,unknown,30-50,low,1.7894736842105263,7480,0,0.0,no
29,admin.,single,tertiary,no,261,no,no,cellular,4,jun,66,1,79,19,failure,<30,low,3.8955223880597014,7569,1,9.5,no
27,admin.,single,secondary,no,827,yes,no,cellular,4,jun,73,1,107,1,failure,<30,low,11.175675675675675,22329,1,0.5,no
40,admin.,single,secondary,no,985,yes,no,cellular,4,jun,592,3,50,8,failure,30-50,low,1.6610455311973018,39400,1,2.0,yes
60,unknown,married,unknown,no,5003,no,no,telephone,4,jun,125,5,-1,0,unknown,>50,high,39.70634920634921,300180,0,0.0,no
50,management,single,secondary,no,431,no,no,telephone,4,jun,180,2,-1,0,unknown,30-50,low,2.3812154696132595,21550,0,0.0,no
28,unemployed,single,secondary,no,538,no,no,cellular,4,jun,114,3,-1,0,unknown,<30,low,4.678260869565217,15064,0,0.0,no
57,technician,divorced,tertiary,no,126,no,no,telephone,4,jun,166,2,-1,0,unknown,>50,low,0.7544910179640718,7182,0,0.0,no
41,technician,single,secondary,no,631,no,no,telephone,4,jun,111,3,-1,0,unknown,30-50,low,5.633928571428571,25871,0,0.0,no
31,management,single,tertiary,no,623,no,no,cellular,4,jun,117,1,-1,0,unknown,30-50,low,5.279661016949152,19313,0,0.0,no
27,management,single,tertiary,no,587,no,no,cellular,4,jun,101,3,-1,0,unknown,<30,low,5.754901960784314,15849,0,0.0,no
29,admin.,single,secondary,no,488,yes,no,cellular,4,jun,105,1,-1,0,unknown,<30,low,4.60377358490566,14152,0,0.0,no
60,retired,married,primary,no,55,no,no,cellular,4,jun,207,1,-1,0,unknown,>50,low,0.2644230769230769,3300,0,0.0,no
24,student,single,unknown,no,1693,no,no,cellular,4,jun,1094,1,-1,0,unknown,<30,medium,1.5461187214611871,40632,0,0.0,yes
46,admin.,married,secondary,no,974,no,no,cellular,5,jun,174,2,80,1,success,30-50,low,5.565714285714286,44804,1,0.3333333333333333,yes
54,management,single,tertiary,no,0,no,no,telephone,5,jun,133,4,-1,0,unknown,>50,negative,0.0,0,0,0.0,no
20,admin.,single,secondary,no,336,no,yes,cellular,5,jun,133,1,-1,0,unknown,<30,low,2.5074626865671643,6720,0,0.0,no
27,admin.,married,secondary,no,897,no,no,cellular,5,jun,397,1,-1,0,unknown,<30,low,2.2537688442211055,24219,0,0.0,yes
23,admin.,single,tertiary,no,230,no,no,cellular,5,jun,264,1,-1,0,unknown,<30,low,0.8679245283018868,5290,0,0.0,yes
28,management,single,secondary,no,171,no,no,cellular,5,jun,324,1,87,1,success,<30,low,0.5261538461538462,4788,1,0.5,yes
22,admin.,single,tertiary,no,377,no,no,cellular,5,jun,155,1,-1,0,unknown,<30,low,2.4166666666666665,8294,0,0.0,yes
25,management,single,tertiary,no,295,no,no,cellular,5,jun,169,1,-1,0,unknown,<30,low,1.7352941176470589,7375,0,0.0,yes
28,management,single,secondary,no,1633,no,no,cellular,5,jun,275,1,-1,0,unknown,<30,medium,5.916666666666667,45724,0,0.0,yes
35,admin.,divorced,secondary,no,1085,no,no,cellular,5,jun,199,1,86,7,success,30-50,medium,5.425,37975,1,3.5,yes
58,retired,married,primary,no,1980,no,no,cellular,5,jun,255,1,-1,0,unknown,>50,medium,7.734375,114840,0,0.0,yes
57,management,married,tertiary,no,1227,no,no,cellular,5,jun,232,1,-1,0,unknown,>50,medium,5.266094420600858,69939,0,0.0,yes
44,technician,married,tertiary,no,1933,no,no,cellular,5,jun,462,1,-1,0,unknown,30-50,medium,4.174946004319654,85052,0,0.0,yes
25,services,single,secondary,no,801,no,no,cellular,5,jun,255,2,-1,0,unknown,<30,low,3.12890625,20025,0,0.0,yes
31,blue-collar,married,primary,no,1644,no,no,cellular,5,jun,247,3,-1,0,unknown,30-50,medium,6.629032258064516,50964,0,0.0,no
33,management,single,tertiary,no,0,no,no,telephone,5,jun,109,1,-1,0,unknown,30-50,negative,0.0,0,0,0.0,no
26,services,single,secondary,no,2158,yes,yes,telephone,5,jun,227,1,-1,0,unknown,<30,medium,9.464912280701755,56108,0,0.0,no
40,technician,married,secondary,no,1819,no,no,cellular,5,jun,398,2,-1,0,unknown,30-50,medium,4.5588972431077694,72760,0,0.0,yes
34,services,single,tertiary,no,88,no,no,cellular,5,jun,206,1,99,1,failure,30-50,low,0.4251207729468599,2992,1,0.5,no
57,retired,married,secondary,no,1841,no,no,telephone,5,jun,302,1,-1,0,unknown,>50,medium,6.075907590759076,104937,0,0.0,no
25,self-employed,single,tertiary,no,42,yes,no,cellular,5,jun,149,1,94,1,success,<30,low,0.28,1050,1,0.5,no
21,student,single,secondary,no,794,no,no,cellular,5,jun,191,1,-1,0,unknown,<30,low,4.135416666666667,16674,0,0.0,yes
36,management,single,tertiary,no,2163,no,no,cellular,5,jun,317,1,-1,0,unknown,30-50,medium,6.80188679245283,77868,0,0.0,yes
49,technician,married,secondary,no,905,no,no,cellular,5,jun,1543,1,-1,0,unknown,30-50,low,0.586139896373057,44345,0,0.0,yes
54,management,married,tertiary,no,8295,no,no,cellular,5,jun,207,1,-1,0,unknown,>50,high,39.87980769230769,447930,0,0.0,no
59,retired,married,primary,no,0,no,no,cellular,5,jun,493,2,-1,0,unknown,>50,negative,0.0,0,0,0.0,yes
28,admin.,married,tertiary,no,153,yes,no,cellular,5,jun,77,1,-1,0,unknown,<30,low,1.9615384615384615,4284,0,0.0,no
28,management,single,tertiary,no,874,yes,no,cellular,5,jun,509,1,-1,0,unknown,<30,low,1.7137254901960783,24472,0,0.0,yes
24,management,single,tertiary,no,1004,yes,no,cellular,5,jun,133,1,67,2,failure,<30,medium,7.492537313432836,24096,1,1.0,no
34,blue-collar,single,secondary,no,215,no,no,cellular,5,jun,329,1,94,3,success,30-50,low,0.6515151515151515,7310,1,1.5,yes
37,blue-collar,married,secondary,no,4321,no,no,cellular,5,jun,657,1,-1,0,unknown,30-50,medium,6.566869300911854,159877,0,0.0,yes
55,housemaid,married,unknown,no,366,no,no,cellular,5,jun,365,3,57,2,other,>50,low,1.0,20130,1,0.5,yes
53,admin.,married,secondary,no,1796,no,no,telephone,5,jun,145,1,-1,0,unknown,>50,medium,12.301369863013699,95188,0,0.0,no
30,technician,single,tertiary,no,0,yes,no,cellular,5,jun,159,2,-1,0,unknown,<30,negative,0.0,0,0,0.0,no
35,management,single,tertiary,no,471,no,no,cellular,5,jun,276,2,-1,0,unknown,30-50,low,1.7003610108303249,16485,0,0.0,no
30,management,single,tertiary,no,2419,no,yes,cellular,5,jun,213,2,-1,0,unknown,<30,medium,11.30373831775701,72570,0,0.0,yes
25,management,single,tertiary,no,289,no,no,cellular,5,jun,604,1,-1,0,unknown,<30,low,0.47768595041322315,7225,0,0.0,yes
59,housemaid,married,secondary,no,0,no,no,telephone,5,jun,153,1,-1,0,unknown,>50,negative,0.0,0,0,0.0,no
35,housemaid,single,primary,no,745,no,no,telephone,5,jun,522,3,-1,0,unknown,30-50,low,1.4244741873804971,26075,0,0.0,yes
38,management,married,tertiary,no,1187,yes,yes,cellular,5,jun,76,2,123,1,failure,30-50,medium,15.415584415584416,45106,1,0.3333333333333333,no
31,admin.,single,tertiary,no,516,no,no,cellular,5,jun,227,1,-1,0,unknown,30-50,low,2.263157894736842,15996,0,0.0,yes
23,student,single,secondary,no,9216,no,no,cellular,5,jun,471,2,-1,0,unknown,<30,high,19.52542372881356,211968,0,0.0,yes
42,unemployed,single,primary,no,8037,no,no,cellular,5,jun,92,2,-1,0,unknown,30-50,high,86.41935483870968,337554,0,0.0,no
21,services,single,secondary,no,361,no,no,telephone,5,jun,329,1,95,1,other,<30,low,1.093939393939394,7581,1,0.5,no
31,management,single,tertiary,no,924,no,no,cellular,5,jun,207,2,98,1,success,30-50,low,4.4423076923076925,28644,1,0.3333333333333333,yes
34,technician,married,secondary,no,657,no,no,cellular,5,jun,263,2,-1,0,unknown,30-50,low,2.4886363636363638,22338,0,0.0,no
35,management,married,tertiary,no,697,no,no,cellular,5,jun,57,2,304,1,failure,30-50,low,12.017241379310345,24395,1,0.3333333333333333,no
41,unemployed,single,primary,no,216,no,no,cellular,5,jun,577,3,-1,0,unknown,30-50,low,0.3737024221453287,8856,0,0.0,yes
29,technician,single,secondary,no,5763,no,yes,cellular,5,jun,271,2,92,2,success,<30,high,21.1875,167127,1,0.6666666666666666,no
26,student,single,secondary,no,611,no,no,cellular,5,jun,455,3,-1,0,unknown,<30,low,1.3399122807017543,15886,0,0.0,yes
55,management,divorced,tertiary,no,9756,yes,no,cellular,5,jun,103,2,95,1,other,>50,high,93.8076923076923,536580,1,0.3333333333333333,no
30,unemployed,single,tertiary,no,1159,no,no,telephone,5,jun,366,1,-1,0,unknown,<30,medium,3.1580381471389645,34770,0,0.0,yes
28,self-employed,single,tertiary,no,3290,no,no,cellular,5,jun,201,2,-1,0,unknown,<30,medium,16.287128712871286,92120,0,0.0,yes
31,blue-collar,married,secondary,no,1766,no,yes,cellular,5,jun,166,2,-1,0,unknown,30-50,medium,10.574850299401197,54746,0,0.0,no
31,admin.,married,secondary,no,389,yes,no,cellular,5,jun,89,2,-1,0,unknown,30-50,low,4.322222222222222,12059,0,0.0,no
48,housemaid,married,secondary,no,3570,no,no,cellular,5,jun,58,2,-1,0,unknown,30-50,medium,60.50847457627118,171360,0,0.0,no
31,unemployed,single,secondary,no,582,yes,no,cellular,5,jun,548,2,-1,0,unknown,30-50,low,1.0601092896174864,18042,0,0.0,yes
25,technician,single,tertiary,no,1693,no,no,cellular,5,jun,96,2,-1,0,unknown,<30,medium,17.45360824742268,42325,0,0.0,no
53,management,divorced,tertiary,no,380,no,yes,cellular,5,jun,438,2,-1,0,unknown,>50,low,0.8656036446469249,20140,0,0.0,yes
39,management,married,tertiary,no,1241,yes,no,cellular,5,jun,138,2,-1,0,unknown,30-50,medium,8.928057553956835,48399,0,0.0,no
38,blue-collar,married,secondary,no,1391,yes,no,telephone,5,jun,614,2,-1,0,unknown,30-50,medium,2.261788617886179,52858,0,0.0,yes
51,technician,married,tertiary,no,1315,no,no,telephone,5,jun,303,2,-1,0,unknown,>50,medium,4.3256578947368425,67065,0,0.0,no
33,admin.,single,secondary,no,4713,no,no,cellular,5,jun,110,2,-1,0,unknown,30-50,medium,42.45945945945946,155529,0,0.0,no
57,management,married,tertiary,no,256,no,no,cellular,5,jun,304,2,91,1,success,>50,low,0.839344262295082,14592,1,0.3333333333333333,yes
22,blue-collar,single,secondary,no,682,no,no,cellular,5,jun,126,2,91,1,success,<30,low,5.3700787401574805,15004,1,0.3333333333333333,no
36,services,married,primary,no,92,yes,no,cellular,5,jun,244,7,-1,0,unknown,30-50,low,0.37551020408163266,3312,0,0.0,no
33,technician,single,secondary,no,66,no,no,cellular,5,jun,157,2,-1,0,unknown,30-50,low,0.4177215189873418,2178,0,0.0,no
54,retired,single,primary,no,466,no,no,cellular,5,jun,151,2,-1,0,unknown,>50,low,3.0657894736842106,25164,0,0.0,no
54,self-employed,married,tertiary,no,1510,no,no,telephone,5,jun,800,2,-1,0,unknown,>50,medium,1.885143570536829,81540,0,0.0,yes
50,management,married,secondary,no,309,no,no,telephone,5,jun,113,1,-1,0,unknown,30-50,low,2.710526315789474,15450,0,0.0,no
36,management,married,tertiary,no,361,no,no,cellular,5,jun,200,2,-1,0,unknown,30-50,low,1.7960199004975124,12996,0,0.0,no
36,blue-collar,divorced,secondary,no,64,no,no,cellular,8,jun,143,2,-1,0,unknown,30-50,low,0.4444444444444444,2304,0,0.0,no
28,admin.,single,secondary,no,1448,no,no,cellular,8,jun,130,5,-1,0,unknown,<30,medium,11.053435114503817,40544,0,0.0,no
56,retired,married,unknown,no,230,no,no,cellular,8,jun,58,2,-1,0,unknown,>50,low,3.8983050847457625,12880,0,0.0,no
50,technician,single,secondary,no,1811,no,no,cellular,8,jun,97,4,-1,0,unknown,30-50,medium,18.479591836734695,90550,0,0.0,no
35,admin.,married,tertiary,no,948,yes,no,cellular,8,jun,86,1,-1,0,unknown,30-50,low,10.89655172413793,33180,0,0.0,no
37,self-employed,single,tertiary,no,1758,no,no,cellular,8,jun,98,2,-1,0,unknown,30-50,medium,17.757575757575758,65046,0,0.0,no
37,unknown,single,tertiary,no,0,no,no,cellular,8,jun,257,2,97,1,success,30-50,negative,0.0,0,1,0.3333333333333333,no
50,housemaid,married,secondary,no,388,no,no,cellular,8,jun,152,2,89,2,success,30-50,low,2.5359477124183005,19400,1,0.6666666666666666,no
52,unemployed,married,primary,no,426,no,no,cellular,8,jun,252,5,-1,0,unknown,>50,low,1.683794466403162,22152,0,0.0,no
46,technician,married,secondary,no,3434,no,yes,cellular,8,jun,148,2,101,1,success,30-50,medium,23.046979865771814,157964,1,0.3333333333333333,no
31,technician,single,tertiary,no,252,no,no,cellular,8,jun,107,3,-1,0,unknown,30-50,low,2.3333333333333335,7812,0,0.0,no
38,management,married,tertiary,no,1354,yes,no,cellular,8,jun,127,3,130,2,failure,30-50,medium,10.578125,51452,1,0.5,no
53,management,married,tertiary,no,1061,no,no,cellular,8,jun,139,2,-1,0,unknown,>50,medium,7.578571428571428,56233,0,0.0,no
49,admin.,married,tertiary,no,6574,no,no,cellular,8,jun,138,3,-1,0,unknown,30-50,high,47.29496402877698,322126,0,0.0,no
